City,Month,Temperature_C,Rainfall_mm,Humidity_%,Soil_Moisture_%,Soil_Type,Latitude,Longitude,Distance_From_Coast_km,Groundwater_Depth_m
Delhi,Jan,29.483570765056164,120.58771880300598,69.20954606735205,43.93748201647134,Alluvial,28.6139,77.209,937.8764957615716,5
Delhi,Feb,26.308678494144075,278.7128513808203,91.379307262927,60.401841385372606,Alluvial,28.6139,77.209,937.8764957615716,5
Delhi,Mar,30.23844269050346,154.8649048100841,70.58158208910294,45.446247349663444,Alluvial,28.6139,77.209,937.8764957615716,5
Delhi,Apr,34.61514928204013,115.16232548453058,70.83738793501894,44.80567927070197,Alluvial,28.6139,77.209,937.8764957615716,5
Delhi,May,25.829233126383322,69.25230444210804,64.20319020473681,39.90696021168424,Alluvial,28.6139,77.209,937.8764957615716,5
Delhi,Jun,25.8293152152541,115.80015027006124,83.35353323627942,52.32812294716888,Alluvial,28.6139,77.209,937.8764957615716,5
Delhi,Jul,34.896064077536955,110.65745224085815,81.44703850716326,51.08137214911512,Alluvial,28.6139,77.209,937.8764957615716,5
Delhi,Aug,30.837173645764544,54.981537427074734,55.614840687556814,34.46853516107558,Alluvial,28.6139,77.209,937.8764957615716,5
Delhi,Sep,24.65262807032524,62.653422752505435,45.211292081018485,28.379843703661198,Alluvial,28.6139,77.209,937.8764957615716,5
Delhi,Oct,29.712800217929825,132.15687094512057,61.955290439065145,39.8163116823415,Alluvial,28.6139,77.209,937.8764957615716,5
Delhi,Nov,24.682911535937688,276.8868157955419,52.99942153403531,37.33738923633202,Alluvial,28.6139,77.209,937.8764957615716,5
Delhi,Dec,24.671351232148716,94.9929793358829,64.04713138076967,40.32813841517946,Alluvial,28.6139,77.209,937.8764957615716,5
Mumbai,Jan,28.20981135783017,24.546067503272763,83.56157202026209,50.62786456222271,Laterite,19.076,72.8777,0.0,20
Mumbai,Feb,17.43359877671101,39.92065917446852,58.14047517369815,35.68269828770826,Laterite,19.076,72.8777,0.0,20
Mumbai,Mar,18.375410837434835,165.5162445492262,64.35764928032637,41.92491445918034,Laterite,19.076,72.8777,0.0,20
Mumbai,Apr,24.188562353795135,29.99917663580285,65.87034102212593,40.122188145991615,Laterite,19.076,72.8777,0.0,20
Mumbai,May,21.93584439832788,183.94702004144568,77.72646323307927,50.314818340676474,Laterite,19.076,72.8777,0.0,20
Mumbai,Jun,28.571236662976368,159.2927563107568,31.29665999023092,21.963851120353688,Laterite,19.076,72.8777,0.0,20
Mumbai,Jul,22.459879622393945,92.5129085463677,55.89949557852055,35.389955518039685,Laterite,19.076,72.8777,0.0,20
Mumbai,Aug,19.938481493323543,55.40959174027671,68.16925538419208,42.00974506532078,Laterite,19.076,72.8777,0.0,20
Mumbai,Sep,34.32824384460777,82.45366685471251,83.00118434640292,51.449783944936,Laterite,19.076,72.8777,0.0,20
Mumbai,Oct,25.871118497567323,129.82406351470783,57.621463287406925,37.16935924273831,Laterite,19.076,72.8777,0.0,20
Mumbai,Nov,27.33764102343962,31.008790476605427,36.85170940937189,22.73120145515524,Laterite,19.076,72.8777,0.0,20
Mumbai,Dec,19.87625906893272,258.70291862913393,74.29567168949204,49.7514613862779,Laterite,19.076,72.8777,0.0,20
Chennai,Jan,24.278086377374088,128.9658994194275,55.46956416761556,35.861056488957885,Laterite,13.0827,80.2707,0.0,20
Chennai,Feb,27.55461294854933,139.71644649912938,47.155000113644576,31.087328998169333,Laterite,13.0827,80.2707,0.0,20
Chennai,Mar,21.245032112888488,158.50396071287582,55.63481915430164,36.5509707068385,Laterite,13.0827,80.2707,0.0,20
Chennai,Apr,28.87849009172836,242.3305599854745,62.232119635162256,42.185882980806845,Laterite,13.0827,80.2707,0.0,20
Chennai,May,23.996806550405974,116.00794020148307,55.92883003192681,35.877456823185746,Laterite,13.0827,80.2707,0.0,20
Chennai,Jun,25.541531251033618,165.58641321941278,31.916509143513963,22.46163375049663,Laterite,13.0827,80.2707,0.0,20
Chennai,Jul,23.991466938853016,56.224337465000104,78.45599295330697,48.198082521284185,Laterite,13.0827,80.2707,0.0,20
Chennai,Aug,36.26139092254469,314.42249065086247,84.12312561918083,56.76232518452574,Laterite,13.0827,80.2707,0.0,20
Chennai,Sep,26.93251387631033,110.25475885641576,74.77282987009258,47.06879309918386,Laterite,13.0827,80.2707,0.0,20
Chennai,Oct,21.711445355220498,55.978837643577776,47.93471494362775,29.880405719048206,Laterite,13.0827,80.2707,0.0,20
Chennai,Nov,31.112724560515943,69.26747442393213,61.97762699078723,38.57192568295098,Laterite,13.0827,80.2707,0.0,20
Chennai,Dec,20.895781750144888,13.431423149224436,64.90218027155812,39.20993662591936,Laterite,13.0827,80.2707,0.0,20
Kolkata,Jan,28.044317975023777,68.89684335407145,73.98191584342865,45.76708637313862,Alluvial,22.5726,88.3639,1358.3607154263377,5
Kolkata,Feb,17.201649380601122,5.237955382807854,75.02510733077122,45.11982350611889,Alluvial,22.5726,88.3639,1358.3607154263377,5
